NomePrestadora,CodINEP,siglaUf,NomeMunicipio,DescSituacao,TipoObrigacao,VelAcessoInstalada,DescTecnologia,NomeEscola,DescTipoEscola,DataAtivacao
TELEFÔNICA,25063944[*],PB,Alagoa Nova,Instalada,Rural – Edital 4G,5 Mbps,Rede Celular,EMEIEF JESUS DE NAZARE,Municipal,06/08/2014
TELEFÔNICA,25063952[*],PB,Alagoa Nova,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,EMEIEF DR AMELIO TAVARES,Municipal,05/08/2014
TELEFÔNICA,25063960[*],PB,Alagoa Nova,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,EMEIEF ESPIRITO SANTO,Municipal,23/07/2014
TELEFÔNICA,25063987[*],PB,Alagoa Nova,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,EMEIEF JOAO PAULO II,Municipal,06/08/2014
TELEFÔNICA,25063995[*],PB,Alagoa Nova,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,EMEIEF FRANCISCO JOSE RODRIGUES,Municipal,05/08/2014
TELEFÔNICA,25064002[*],PB,Alagoa Nova,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,EMEIEF SAO JOSE,Municipal,05/08/2014
TELEFÔNICA,25064118[*],PB,Areia,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF VER NELSON CARNEIRO,Municipal,29/09/2015
TELEFÔNICA,25064290[*],PB,Areia,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,EMEF ANTONIO PIRES BEZERRA,Municipal,06/03/2015
TELEFÔNICA,25064410[*],PB,Areia,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF JOSE LINS SOBRINHO,Municipal,09/07/2015
TELEFÔNICA,25064460[*],PB,Areia,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,EMEF MARIA EMILIA MARACAJA,Municipal,21/10/2014
TELEFÔNICA,25064541[*],PB,Areia,Instalada,Rural – Edital 4G,1.52 Mbps,Rede Celular,EMEF NENEN SILVA,Municipal,10/10/2018
TELEFÔNICA,25064630[*],PB,Areia,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,GR ESC JULIA EMILIA,Municipal,22/10/2014
